         ps          /iirdf1_real_tb/dut/oIIR_TX    
          delta                                     
 1006097000  +1 00000000001110111000011000101001 
 1010263000  +1 00000000001110100101110111001111 
 1014429000  +1 00000000001110010011011111100110 
 1018595000  +1 00000000001110000001010001111001 
 1022761000  +1 00000000001101101111001110010010 
 1026927000  +1 00000000001101011101010100111100 
 1031093000  +1 00000000001101001011100110000001 
 1035259000  +1 00000000001100111010000001101010 
 1039425000  +1 00000000001100101000101000000000 
 1043591000  +1 00000000001100010111011001001011 
 1047757000  +1 00000000001100000110010101010100 
 1051923000  +1 00000000001011110101011100100010 
 1056089000  +1 00000000001011100100101110111100 
 1060255000  +1 00000000001011010100001100101000 
 1064421000  +1 00000000001011000011110101101100 
 1068587000  +1 00000000001010110011101010001110 
 1072753000  +1 00000000001010100011101010010011 
 1076919000  +1 00000000001010010011110101111111 
 1081085000  +1 00000000001010000100001101010111 
 1085251000  +1 00000000001001110100110000011110 
 1089417000  +1 00000000001001100101011111011000 
 1093583000  +1 00000000001001010110011010001000 
 1097749000  +1 00000000001001000111100000110001 
 1101915000  +1 00000000001000111000110011010101 
 1106081000  +1 00000000001000101010010001110110 
 1110247000  +1 00000000001000011011111100010110 
 1114413000  +1 00000000001000001101110010110110 
 1118579000  +1 00000000000111111111110101011000 
 1122745000  +1 00000000000111110010000011111100 
 1126911000  +1 00000000000111100100011110100011 
 1131077000  +1 00000000000111010111000101001101 
 1135243000  +1 00000000000111001001110111111001 
 1139409000  +1 00000000000110111100110110100110 
 1143575000  +1 00000000000110110000000001010100 
 1147741000  +1 00000000000110100011011000000010 
 1151907000  +1 00000000000110010110111010101111 
 1156073000  +1 00000000000110001010101001011000 
 1160239000  +1 00000000000101111110100011111100 
 1164405000  +1 00000000000101110010101010011001 
 1168571000  +1 00000000000101100110111100101101 
 1172737000  +1 00000000000101011011011010110101 
 1176903000  +1 00000000000101010000000100101110 
 1181069000  +1 00000000000101000100111010010110 
 1185235000  +1 00000000000100111001111011101001 
 1189401000  +1 00000000000100101111001000100100 
