Time [s],Channel,Value
0.000022840000000,2,3627
0.000028510000000,1,0
0.000034180000000,2,5431
0.000039850000000,1,0
0.000045520000000,2,3229
0.000051190000000,1,0
0.000056850000000,2,5109
0.000062520000000,1,0
0.000068190000000,2,2870
0.000073860000000,1,0
0.000079530000000,2,4740
0.000085200000000,1,0
0.000090870000000,2,2524
0.000096540000000,1,0
0.000102210000000,2,4448
0.000107880000000,1,0
0.000113540000000,2,2135
0.000119210000000,1,0
0.000124880000000,2,4325
0.000130550000000,1,0
0.000136220000000,2,1702
0.000141890000000,1,0
0.000147560000000,2,4411
0.000153230000000,1,0
0.000158900000000,2,1314
0.000164560000000,1,0
0.000170230000000,2,4624
0.000175900000000,1,0
0.000181570000000,2,1049
0.000187240000000,1,0
0.000192910000000,2,4819
0.000198580000000,1,0
0.000204250000000,2,908
0.000209910000000,1,0
0.000215580000000,2,4933
0.000221250000000,1,0
0.000226920000000,2,863
0.000232590000000,1,0
0.000238260000000,2,4929
0.000243930000000,1,0
0.000249600000000,2,828
0.000255270000000,1,0
0.000260930000000,2,4709
0.000266600000000,1,0
0.000272270000000,2,688
0.000277940000000,1,0
0.000283610000000,2,4232
0.000289280000000,1,0
0.000294950000000,2,448
0.000300620000000,1,0
0.000306290000000,2,3585
0.000311960000000,1,0
0.000317620000000,2,218
0.000323290000000,1,0
0.000328960000000,2,2905
0.000334630000000,1,0
0.000340300000000,2,49
0.000345970000000,1,0
0.000351640000000,2,2355
0.000357300000000,1,-1
0.000362970000000,2,-76
0.000368640000000,1,0
0.000374310000000,2,2087
0.000379980000000,1,-1
0.000385650000000,2,-143
0.000391320000000,1,0
0.000396990000000,2,2130
0.000402660000000,1,-1
0.000408330000000,2,-152
0.000413990000000,1,0
0.000419660000000,2,2415
0.000425330000000,1,-1
0.000431000000000,2,-122
0.000436670000000,1,0
0.000442340000000,2,2886
0.000448010000000,1,-1
0.000453680000000,2,-52
0.000459350000000,1,0
0.000465010000000,2,3468
0.000470680000000,1,0
0.000476350000000,2,28
0.000482020000000,1,0
0.000487690000000,2,3988
0.000493360000000,1,0
0.000499030000000,2,20
0.000504690000000,1,0
0.000510360000000,2,4272
0.000516030000000,1,-1
0.000521700000000,2,-138
0.000527370000000,1,0
0.000533040000000,2,4239
0.000538710000000,1,-1
0.000544380000000,2,-399
0.000550050000000,1,0
0.000555720000000,2,3911
0.000561380000000,1,-1
0.000567050000000,2,-663
0.000572720000000,1,0
0.000578390000000,2,3395
0.000584060000000,1,-1
0.000589730000000,2,-823
0.000595400000000,1,0
0.000601070000000,2,2851
0.000606740000000,1,-1
0.000612400000000,2,-813
0.000618070000000,1,0
0.000623740000000,2,2430
0.000629410000000,1,-1
0.000635080000000,2,-654
0.000640750000000,1,0
0.000646420000000,2,2247
0.000652090000000,1,-1
0.000657750000000,2,-407
0.000663420000000,1,0
0.000669090000000,2,2362
0.000674760000000,1,-1
0.000680430000000,2,-109
0.000686100000000,1,0
0.000691770000000,2,2683
0.000697440000000,1,0
0.000703110000000,2,188
0.000708770000000,1,0
0.000714440000000,2,2978
0.000720110000000,1,0
0.000725780000000,2,387
0.000731450000000,1,0
0.000737120000000,2,3079
0.000742790000000,1,0
0.000748460000000,2,425
0.000754130000000,1,0
0.000759800000000,2,2969
0.000765460000000,1,0
0.000771130000000,2,295
0.000776800000000,1,0
0.000782470000000,2,2690
0.000788140000000,1,0
0.000793810000000,2,13
0.000799480000000,1,0
0.000805150000000,2,2271
0.000810820000000,1,-1
0.000816480000000,2,-359
0.000822150000000,1,0
0.000827820000000,2,1772
0.000833490000000,1,-1
0.000839160000000,2,-674
0.000844830000000,1,0
0.000850500000000,2,1332
0.000856170000000,1,-1
0.000861830000000,2,-745
0.000867500000000,1,0
0.000873170000000,2,1071
0.000878840000000,1,-1
0.000884510000000,2,-506
0.000890180000000,1,0
0.000895850000000,2,1008
0.000901520000000,1,-1
0.000907190000000,2,-83
0.000912850000000,1,0
0.000918520000000,2,1088
